sentence,emotion
SP-Chef Christian Levrat: «Wir erhalten eine AHV-Sanierung ohne Leistungsabbau»,Antizipation
Nobelpreisträger Werner Arber: «Ich glaube an die Schöpfung»,Überraschung
Nobelpreisträger Werner Arber: «Ich glaube an die Schöpfung»,Vertrauen
Asylbewerber: Machtlos gegen Ehen von Minderjährigen,Ärger
Ein Videospiel tötet keinen Menschen,Überraschung
Ein Videospiel tötet keinen Menschen,Traurigkeit
Virtuelle Therapien helfen gegen Paranoia,Antizipation
Vor dieser Firma fürchten sich die USA,Überraschung
Warum die Jagd in Graubünden tief in der Gesellschaft verwurzelt ist,Keine
Der Staat muss die Religionsfreiheit durchsetzen,Ärger
Der Staat muss die Religionsfreiheit durchsetzen,Angst
Viele Schweizer befürworten höhere Steuern für Spitzenverdiener,Überraschung
Augenärzte umgehen Bersets Tarif-Reform,Vertrauen
"In diesem Safaripark darf man bedrohte Tiere jagen, um bedrohte Tiere zu retten",Überraschung
Warum Noah seinen Tieren in der Arche nur eine Sorte Futter gab,Überraschung
"USA macht den ersten Schritt, um Kinderehen zu verbieten",Überraschung
"USA macht den ersten Schritt, um Kinderehen zu verbieten",Traurigkeit
Eine Frauenquote produziert Quotenfrauen,Ärger
Spitäler kaufen medizinische Produkte zu teuer ein,Überraschung
Spitäler kaufen medizinische Produkte zu teuer ein,Ärger
Abstimmung über den Wolf zeichnet sich ab,Antizipation
Mehr Geld im Portemonnaie dank CO2-Abgaben?,Antizipation
"Warum man die Netze von Facebook, Amazon, Google und Co. nicht verstaatlichen sollte",Überraschung
"Warum man die Netze von Facebook, Amazon, Google und Co. nicht verstaatlichen sollte",Angst
Der eigentliche Skandal des käuflichen Sex,Traurigkeit
Eine Hymne an den Kanton Glarus,Überraschung
Eine Hymne an den Kanton Glarus,Vertrauen
Ärzte schlagen Alarm: Ist das wirklich alles nötig?,Überraschung
Neues Initiativprojekt: SNB-Gewinne zur AHV,Antizipation
Bundesstellen warnen: Eine CO2-Abgabe reduziert die Emissionen kaum,Antizipation
Fragen Sie Ihren Arzt oder den Computer: Künstliche Intelligenz revolutioniert die Radiologie,Antizipation
Wie Angehörige bei Sterbehilfe leiden,Traurigkeit
Ärzte verdienen bis zu einer Million. Jetzt wird es der Politik zu viel,Überraschung
Ärzte verdienen bis zu einer Million. Jetzt wird es der Politik zu viel,Antizipation
"Ein Spital muss nicht rentieren, es muss Kranken helfen",Vertrauen
Kanton Zürich bittet Kitas zur Kasse,Ärger
